japanese,copies,id,en,score,ja_ex,ko,zh,action
煩わしい,8,1192,annoying,25,細かいルールは煩わしいです。,귀찮습니다,麻烦,KEEP
煩わしい,8,1491,annoying,25,宿題はとても煩わしいです。,귀찮습니다,烦人,DISCARD
煩わしい,8,1533,annoying,25,宿題はとても煩わしいです。,성가시다,烦人,DISCARD
煩わしい,8,1851,annoying,25,宿題はとても煩わしい。,귀찮다,烦人,DISCARD
煩わしい,8,1954,annoying,25,宿題はとても煩わしいです。,귀찮습니다,烦人,DISCARD
煩わしい,8,2080,annoying,25,細かいルールは煩わしいです。,번거롭습니다,烦人,DISCARD
煩わしい,8,2092,annoying,25,宿題はとても煩わしいです。,성가시다,烦人,DISCARD
煩わしい,8,5822,troublesome *DIFF*,25,毎日同じことで文句を言われるのは本当に煩わしい。,번거로운,麻烦,DISCARD
夥しい,6,1164,Numerous,25,夥しい数の星が見えます。,엄청나게,众多的,KEEP
夥しい,6,1534,Numerous,25,夥しい数の星が見えます。,엄청나게,无数,DISCARD
夥しい,6,1827,Numerous,25,夥しい数の星が見えます。,엄청나게,大量,DISCARD
夥しい,6,2040,huge *DIFF*,25,夥しい数の星が見えます。,엄청나게,大量,DISCARD
夥しい,6,2322,huge *DIFF*,25,夥しい数の星が見えます。,엄청나게,大量的,DISCARD
夥しい,6,2981,abundantly *DIFF*,25,その災害による犠牲者は夥しい数に上った。,풍부하게,丰富地,DISCARD
呆気ない,5,122,anticlimactically,25,試合は呆気なく終わった。,싱겁게,简单地,KEEP
呆気ない,5,1567,Unexpectedly quickly *DIFF*,25,試合は呆気なく終わった。,싱겁게,太轻易了,DISCARD
呆気ない,5,1830,Suddenly *DIFF*,25,試合は呆気なく終わった。,싱겁게,突然,DISCARD
呆気ない,5,2303,anticlimactically,25,試合は呆気なく終わった。,싱겁게,平淡,DISCARD
呆気ない,5,2618,not enough *DIFF*,25,優勝候補だったチームが、初戦で呆気なく敗退してしまった。,충분하지 않다,不够,DISCARD
逞しい,5,183,strong,25,彼は逞しい体をしている。,늠름한,强壮的,KEEP
逞しい,5,1566,strong,25,彼は逞しい体をしている。,늠름한,强壮的,DISCARD
逞しい,5,1835,strong,25,彼は逞しい体をしている。,늠름한,强壮的,DISCARD
逞しい,5,2302,strong,25,弟は逞しい体つきをしています。,늠름한,健壮的,DISCARD
逞しい,5,4425,burly *DIFF*,25,彼は厳しい訓練を乗り越え、逞しい体を手に入れた。,건장한,魁梧,DISCARD
見合わせる,5,1474,postpone,25,今日は雨なので、ピクニックを 見合わせる。,미루기로,取消了,KEEP
見合わせる,5,1953,refrain *DIFF*,25,今日は雨なので、出かけるのを見合わせる。,보류할게요,暂缓,DISCARD
見合わせる,5,2031,postpone,25,今日は雨なので、外出を 見合わせる。,미루겠습니다,暂缓,DISCARD
見合わせる,5,2263,postpone,25,今日は会議を見合わせることにしました。,보류하다,暂停,DISCARD
見合わせる,5,5508,to exchange glances *DIFF*,25,何かあったのかと、私たちは互いに顔を見合わせた。,눈빛을 교환하다,交换眼神,DISCARD
はらはら,5,1477,nervous,25,妹が初めての発表会で、はらはらしました。,조마조마,担心,KEEP
はらはら,5,1521,nervous,25,妹が綱渡りをするのを見て、はらはらしました。,조마조마,紧张的,DISCARD
はらはら,5,1907,anxious *DIFF*,25,妹が試験の結果を待っていて、私ははらはらしました。,조마조마했습니다,提心吊胆,DISCARD
はらはら,5,2328,nervous,25,彼女が試験の結果を待つ間、私ははらはらしました。,조마조마,紧张的,DISCARD
はらはら,5,2476,nervous,25,妹が綱渡りをしていて、はらはらした。,조마조마했다,提心吊胆,DISCARD
鬱陶しい,4,133,gloomy,25,梅雨の時期は毎日鬱陶しいです。,찌뿌둥해요,郁闷,KEEP
鬱陶しい,4,1720,gloomy,25,梅雨の時期は毎日鬱陶しいです。,우울합니다,烦闷,DISCARD
鬱陶しい,4,1859,gloomy,25,梅雨の時期は、毎日雨で鬱陶しいです。,답답합니다,郁闷,DISCARD
鬱陶しい,4,2825,gloomy,25,雨が続いていて、気分が少し鬱陶しいです。,우울한,阴沉,DISCARD
しぶとい,4,165,stubborn,25,このシミはしぶとい。,끈질기다,顽固,KEEP
しぶとい,4,1639,persistent *DIFF*,25,あの虫はしぶとい。,끈질기다,顽强,DISCARD
しぶとい,4,1833,persistent *DIFF*,25,あの虫はしぶとい。,끈질기다,顽强,DISCARD
しぶとい,4,3912,tenacious *DIFF*,25,彼は本当にしぶとい性格で、どんな困難にも決して諦めない。,끈질긴,坚韧的,DISCARD
容易い,4,187,Easy,25,この問題は容易いです。,쉽습니다,容易,KEEP
容易い,4,2097,easy,25,この問題は容易いです。,쉽습니다,很容易,DISCARD
容易い,4,2492,easy,25,この問題は容易いです。,쉽다,容易,DISCARD
容易い,4,4468,easy,25,この問題は私にとって非常に容易いことだ。,쉽다,容易,DISCARD
馴れ馴れしい,4,200,Familiar,25,彼は誰にでも馴れ馴れしい。,친한 척한다,随便,KEEP
馴れ馴れしい,4,1698,Familiar,25,彼は誰にでも馴れ馴れしい。,살갑게,随便,DISCARD
馴れ馴れしい,4,1854,Familiar,25,彼は誰にでも馴れ馴れしい。,친한 척한다,自来熟,DISCARD
馴れ馴れしい,4,4938,over-familiar *DIFF*,25,初対面の人にあまり馴れ馴れしい態度は失礼にあたる場合があります。,지나치게 친밀한,过于随便,DISCARD
